"","k__Bacteria","g__Bifidobacterium","g__Cellulomonas","g__Collinsella","g__Adlercreutzia","g__Eggerthella","g__Gordonibacter","p__Bacteroidetes","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","g__Mediterranea","g__Barnesiella","g__Butyricimonas","g__Odoribacter","f__Prevotellaceae","g__Paraprevotella","g__Prevotella","g__Prevotellamassilia","f__Rikenellaceae","g__Alistipes","g__Parabacteroides","g__Tannerella","p__Firmicutes","g__Enterococcus","g__Lactobacillus","g__Streptococcus","o__Clostridiales","g__Flavonifractor","g__Intestinimonas","g__Pseudoflavonifractor","g__Butyricicoccus","g__Clostridium","g__Hungatella","g__Emergencia","g__Eubacterium","f__Lachnospiraceae","g__Anaerostipes","g__Blautia","g__Butyrivibrio","g__Coprococcus","g__Dorea","g__Eisenbergiella","g__Fusicatenibacter","g__Lachnoclostridium","g__Roseburia","g__Tyzzerella","g__Oscillibacter","g__Clostridioides","f__Ruminococcaceae","g__Anaeromassilibacillus","g__Anaerotruncus","g__Angelakisella","g__Faecalibacterium","g__Gemmiger","g__Negativibacillus","g__Neglecta","g__Phocea","g__Provencibacterium","g__Ruminiclostridium","g__Ruminococcus","g__Ruthenibacterium","g__Subdoligranulum","f__Erysipelotrichaceae","g__Faecalitalea","g__Holdemania","g__Acidaminococcus","g__Phascolarctobacterium","g__Dialister","o__Burkholderiales","f__Comamonadaceae","g__Dakarella","g__Parasutterella","g__Sutterella","g__Bilophila","g__Desulfovibrio","g__Campylobacter","f__Enterobacteriaceae","g__Escherichia","g__Haemophilus","g__Akkermansia"
"MCT.f.0002",0.952043954174679,3.58238517094957,-4.52804663440058,1.4995709447911,-0.0831987205608415,-0.607269571076853,-0.247266837045446,-0.388580370112023,5.43507290638921,0.792818112175374,7.95140459768276,0.0287191956431439,4.07403827189216,-1.5517311799177,3.67601043038898,-1.81124237540279,-1.08172755067197,2.30205720251301,-4.00846695273901,-1.19505623597897,6.67261615343421,5.36848894620951,-2.70918396860875,1.26453260582474,-1.21525894329649,-0.370880793012622,0.906635914635684,3.02709503073079,-0.311288695810377,-0.239544790951536,0.498722824888879,-2.46802191179186,2.76842005103809,-1.61057167994064,-2.2738658973509,0.798282606647452,3.67032204546015,-2.33449051916734,2.73676939674535,-1.81124237540279,0.44974882029242,0.317870776074285,-2.06255680368369,1.79264386587775,0.600031023341758,2.75657202404153,-1.01273467918502,1.77945240112339,-1.41819978729318,0.881882175482745,-2.06255680368369,0.057706732516396,-0.789591127870808,3.71243829919777,2.92819966973755,-3.31531977217906,-1.5517311799177,-2.0160367880488,-3.1611690923518,-1.21525894329649,3.70278356397194,-1.67309203692197,-0.472350253177482,-1.81124237540279,-1.46949308168073,-1.52356030295101,1.66141397024151,-4.76204258730484,-5.21330381019906,2.85985425699772,-4.00846695273901,-4.66003417630148,0.840955747773528,-4.63650890756155,1.71293712326701,-3.31531977217906,-0.491958724565859,-0.434250406945212,1.06670686249482,-1.70588185974496,0.502392553777842
"MCT.f.0003",0.767416257891434,5.00531129810327,-5.26305700672737,2.3558007611277,0.8638081035665,0.706047311515142,0.0379014331606141,-2.56478825228377,2.91167529964774,-1.15787460396114,5.67741969747509,-2.27710617983199,-0.787015025030455,-1.36081544795783,0.752423473305293,-4.35654772151182,-3.66340054095188,-0.279010277606105,-5.82349688840985,-6.91535436838953,2.05115700687228,2.7675278834364,-5.43678951083844,1.91349508379847,-0.0592623152930337,1.82863156621955,2.96232333708729,3.80425619944284,-0.938821037898459,-0.890811818712098,0.297412628645699,-1.79159836405029,2.44862096869521,-1.09845118349034,-2.48474554461023,2.2150352758581,3.77953145266008,0.097799574741683,3.43786348421478,-0.296104710965405,1.45608915805646,1.52118806026781,-1.38613325594212,2.79219102691285,1.64238884043486,4.78754600464543,-0.405304002930397,-0.151855102120859,-0.45457505193718,2.24400281852967,-1.00664363423722,1.29242651664938,-0.7456298088676,4.43554620799146,4.17109072776595,-3.10378475301646,-1.55318734060529,-1.75385803606744,-1.41210874234538,-0.53883539555492,4.40656760810796,0.0622928862847734,0.900947650515957,-1.91420068614262,-0.922560517026678,-0.0524826283076548,2.27677071176855,-4.35654772151182,-4.69173135688659,4.46952625349719,-2.74710980907772,-5.34691331135806,2.45854387260689,-7.05502140912357,4.83450788905249,-2.74710980907772,-0.0660882803634335,-0.938821037898459,0.253610005987306,0.968898312424465,-0.860040160045344
"MCT.f.0004",0.297269325109984,3.74998538559478,-5.12971038795601,1.09352037866326,-0.656604117913214,-1.28787589475507,-1.76591169569807,-1.30807860207259,4.50373429026665,-0.25113900980505,7.15836250186067,-1.2296069866311,2.79101656290811,-2.06440468425407,2.67255624988076,-2.80200362738485,-1.76591169569807,1.52992517030626,-5.20494410001204,-1.79870151852106,5.54420711227106,4.33837737739189,-3.81360453906333,1.91973673783442,-0.722562085705011,0.452590280085433,0.520412876424194,3.63356382053671,0.666569156750079,0.732346287264793,1.1063763867648,-1.26807326745889,3.66258467630511,-0.733990781528634,-1.86769439000801,1.04426800048052,3.02961221878124,-2.80200362738485,2.59286282063331,-1.61637996172711,0.758525792846564,0.272371773488257,-1.46222928189985,1.75378531068732,1.3890275773503,3.10013281159636,-0.545938550025695,3.29382093504738,-0.733990781528634,1.98624540433911,-2.1088564468249,0.900420051836846,-0.0939534262826372,6.04171640485219,2.45549174464293,-2.02184506983527,-1.48632683347891,-1.10555433796112,-2.63494954272168,0.268161240951913,4.27764018530334,-1.21091485361894,0.161393265526207,-0.678110323134178,-2.366685556127,-0.722562085705011,1.60803604351671,-4.76913986953847,-4.87468410679281,2.81509799416508,-4.10128661151511,-4.93768530268407,0.799037661763465,-5.26221226093081,3.7692612329926,-3.59046098774912,-0.604779050048628,-2.89731380718917,-1.05676417379169,-1.76591169569807,0.431312881638148
"MCT.f.0005",0.138484371653638,3.24346664582606,-3.76779880090764,1.18166685538242,0.249710006763863,-0.470105420878244,-0.470105420878244,-2.69472897240258,4.80441757818512,0.138484371653638,7.53028032734668,-0.713727503535994,3.16463173407207,-1.51607397606093,3.04425975798824,-2.47158542108837,-1.1906515756263,2.06316230060318,-3.9136297624783,-2.69472897240258,5.90358327029845,4.89435391033416,-3.38787615296252,1.60933612080159,-0.862147508654268,0.462271448747536,-0.3433537152391,3.26949283831153,-0.319823217828906,0.181656543518847,0.97522247182584,-1.77843824052842,3.23019505089716,-0.989980880164153,-1.88379875618625,1.49492576962385,2.81567099810024,-1.30843461128269,3.0123812923463,-1.13658435435603,0.786511116933114,0.493687644980915,-1.6831280607241,2.43072199612226,1.31260421282989,3.04264945168214,-0.989980880164153,2.00119557685398,-0.748818823347264,1.44043758433978,-1.6831280607241,1.13933249155586,-0.615287430722742,5.3503784235636,2.91565815465407,-2.13511318446715,-2.13511318446715,-1.59611668373447,-2.28926386429441,-1.37297313242026,3.31285495658529,-1.44196600390721,0.181656543518847,-0.989980880164153,-2.28926386429441,-0.470105420878244,1.50247297525923,-4.63618752913967,-4.3086787314147,3.23219705356783,-3.87242651104429,-4.79384611291138,1.32165404834981,-4.79576240950782,3.53032438388115,-3.38787615296252,-0.822926795500986,-3.58863456255105,-0.822926795500986,-1.88379875618625,-2.13511318446715
"MCT.f.0006",0.546059493009278,2.84092253990941,-4.35998181208469,1.26764460888976,-1.13650068425378,-1.864739184625,-1.55935753507382,-1.61342475634409,4.42603598903214,0.0394982680297453,7.09591196831424,-0.611976216129632,3.56335252566985,-1.55935753507382,2.95381277547535,-2.55788636518495,-1.45927407651684,1.01365638222445,-4.4998449179154,-3.11750215312037,5.51185833516662,4.57369794440249,-3.81064933368031,1.9929784759456,-0.426259070334539,1.50991864180254,-1.36830229831111,3.6714695898718,0.291994031356482,0.159642579871808,1.07593331174596,-1.13650068425378,3.42388853137552,-0.977435989624097,-1.93884715677872,1.64680625420602,3.53439266573294,-1.79574631313805,2.60853093047065,-1.17159200406505,0.589953686566504,0.614197298176496,-1.41275406088194,1.88139788475747,1.56694121376223,3.91534273670059,-0.392922650066947,2.37143557303632,-0.47844482350511,1.95454176910453,-1.73120779200048,0.727312102614328,-0.392922650066947,5.80845071335346,2.51011896057027,-1.67058317018404,-0.571970881515933,-0.977435989624097,-2.55788636518495,-0.344913430880587,4.72859884851676,-1.45927407651684,0.130932473989377,-0.675155117751164,-2.55788636518495,-1.13650068425378,0.862179500781593,-4.30566373032094,-4.5226922034056,2.36521793642545,-4.57247912493113,-4.21859100971163,0.472937228180316,-4.71745748206486,2.00646182628289,-4.39855017281628,0.178334712883961,-2.55788636518495,-1.06980930975511,-1.45927407651684,-1.28492068937206
"MCT.f.0007",0.607918179989878,3.58992026073197,-5.12873630819797,1.83436384016787,-0.646913041569549,-1.1674474794625,-1.1674474794625,-1.5488150359916,4.53144500989951,0.0606228764424962,7.09108871341749,-0.753885161121716,3.26626871253982,-2.31607018870527,2.45851814924087,-3.08926007693875,-1.99064778827064,1.21705473599943,-4.81227518964228,-1.70296571581886,5.80833109542901,4.57391270832945,-3.27158163373271,2.05240347956391,-0.691364804140382,0.812712592635892,-1.51372371618033,3.62389861437382,-0.00582222296565653,0.187884656053423,1.33758057352492,-1.07435705639649,3.18141324541639,-1.00981853525892,-2.04780620211059,1.02434230188776,3.76403901624733,-2.68379496883059,2.63813041150302,-1.24343338644042,0.874722667420104,0.230968242189735,-1.58518268016248,2.20822360886071,1.54546891129088,3.62166895904655,-0.646913041569549,2.74457552596565,-0.737884819775275,2.0366860636685,-1.78997709280849,0.802560221171874,-0.403682731688602,6.10058843027167,2.96086638281782,-2.04780620211059,-1.2975006077107,-1.70296571581886,-2.10843082392703,-0.246290557937172,5.09138754183392,-1.03087194445675,0.155933056246821,-0.910727632614686,-2.04780620211059,-0.929775827585381,1.33358855225538,-4.88493978384454,-4.65077957601769,2.72586498505282,-3.49472518504692,-4.83424277839,0.760887524771306,-5.83987952306827,2.68114208505884,-4.18787236560686,0.0534543869638838,-2.10843082392703,-0.110334921701143,-3.27158163373271,-0.855667855431659
"MCT.f.0008",0.710150930545096,3.26916555248682,-4.57496898141215,0.827526882947333,-1.07067946815077,-2.19127066353765,-1.34397280315045,-1.43358496184014,4.54814485617095,-0.0551337781812729,7.29517502812979,-0.788447000466553,3.16657268232441,-2.06610752058365,3.02547504931657,-2.81987932296003,-1.80827841128155,1.04085038808057,-3.80070857597175,-2.26026353502461,5.53843536338872,4.82521943174126,-4.51061059476288,1.89077637087404,-0.967495231915538,1.74055496918667,0.0494390257383042,3.61406508843342,0.0704924349361365,0.156924940708444,1.3564291771135,-1.00750056652924,3.1176568821224,-1.00750056652924,-2.59673577164582,2.10827974931199,3.7598925867968,-2.59673577164582,2.38481394155534,-0.929028951087742,0.958612289843595,0.182083500344599,-1.56711635446466,1.82571277752698,1.42144742961072,3.99425185398944,-0.581832751103554,2.60562120375631,-0.838877854093445,1.74316593672739,-1.68044503977166,0.95288161513461,-0.345443973039323,5.04736984519691,2.43956726919901,-2.06610752058365,-0.891987679407393,-1.43358496184014,-2.95341071558455,0.304685822436931,4.79443282349197,-1.28840295199564,0.0423215579694401,-1.40281330317338,-2.12673214240008,-1.04917326292981,1.92613917161544,-4.57567145841726,-4.20617368407992,2.95272934262603,-4.93634230143079,-6.39074707201017,1.01688119796757,-4.20617368407992,2.83392478188993,-3.80070857597175,0.363369324265021,-2.70209628730364,-0.608861423491473,-2.0089491067437,-0.410684494907724
"MCT.f.0009",0.610382469208568,3.70718513252141,-4.54688000017546,1.2015080353762,-1.32886098848856,-1.56370057956596,-1.21886009327423,-1.50654216572601,4.57046276959049,0.0574333726313345,7.20493775054246,-0.659244305338805,3.06702268084675,-2.52511174672058,2.8278394821458,-2.69216583138375,-1.47914319153789,1.03898910587843,-5.44660562066528,-2.2568477601259,5.74692821695852,4.68564989341185,-3.99144881551401,1.94959924567996,-0.759327763895787,1.23965980134058,0.218206593219086,3.65633722992692,0.0973247016586365,0.523067002205952,1.47661132562112,-0.962926719137027,3.18887489810986,-0.900406362155693,-2.69216583138375,1.67613061047823,3.60728462674323,-2.60515445439412,2.32330623151312,-1.13881738560069,1.15410579648162,0.247476975519199,-1.35239148589875,1.76006506196338,1.51388272041835,4.09598657522502,-0.389580738389702,2.84194204817927,-1.0125236602764,1.79442554786066,-1.62432520138239,1.07745538670622,-0.0861147982366594,5.27615366862897,2.61565171971231,-1.79422423817779,-0.900406362155693,-0.69561194950968,-2.14562212501568,0.0973247016586365,4.55180191022152,-1.11976919063,-0.0661805833358421,-1.08272791894965,-1.83196456616064,-0.612724289703912,1.00350866586302,-4.72842854098195,-5.43303456919464,2.3111701602309,-3.48062319174802,-4.75678813439975,0.407107121111083,-4.39691392362217,2.76625846722447,-3.48062319174802,0.237815064607463,-3.1441509551268,-1.30587147026386,-3.99144881551401,-0.720613251715097
"MCT.f.0010",0.586933046797827,5.14977860838113,-3.90824273201115,2.06771825133864,-0.0795458866799567,-0.790392644339303,-0.23077685640388,-0.511679241870282,5.21938532651339,0.462370324156065,7.52816666479067,-0.152305240962385,4.36372437323464,-2.33083768528645,3.42543181542051,-2.33083768528645,-1.23222539661834,1.03069443998327,-3.99222170704106,-0.864500616493025,7.23910999371297,4.99255303045793,-3.42944997395456,1.77455671312223,-0.511679241870282,0.308219644328807,1.63945422826567,3.54456110080464,-0.65686125171478,-0.511679241870282,0.550231679947399,-1.4145469534123,2.85000909678725,-1.55764779705297,-2.33083768528645,1.37457107077869,3.78284449454578,-1.63769050472651,3.68124614902427,-1.17815817534807,1.68253781440198,0.989390633842036,-1.63769050472651,2.85094586500563,1.2004128246239,3.56080652653932,-0.539078216058397,1.22926097896156,-0.43371770040057,1.19552283932971,-2.17668700545919,0.482573031473585,-0.65686125171478,4.48863267882811,3.36401615862545,-2.17668700545919,-1.07807471679108,-2.33083768528645,-3.78190232823699,-0.826760288510178,4.33314607458551,-1.35000843227473,0.431279737086034,-1.48353982489925,-1.55764779705297,-1.12686488096052,-0.272449552804448,-6.1833875468727,-5.22241665147131,0.775242645436405,-4.33904257261116,-4.56897888101503,-1.63769050472651,-3.42944997395456,0.894682682300418,-4.44613560228493,0.648087469951158,-3.83926072942033,-2.73630279339462,-0.65686125171478,-1.55764779705297
"MCT.f.0011",0.775042954702579,3.83199385068447,-4.50835342879849,0.919041263065819,-1.06854158239006,-1.8276467307418,-0.807815319926809,-0.929705137535846,5.23512897959418,0.664807124681578,7.81601265688782,-0.0358872615137497,4.1938178275273,-1.58648467392492,3.58379637844384,-1.8276467307418,-1.36334112261071,1.29191089292453,-4.22554200354018,-1.8276467307418,6.39958299995553,5.33724940422152,-2.7214646067639,2.0520408940434,-0.729034442073695,0.545142620925489,1.6280962266604,3.63830147719018,-1.02686888598949,-0.156515249302364,0.217109252950141,-1.33517024564401,2.41694479782708,-1.22980972998618,-2.21063898299791,1.41281266579357,3.73023377799401,-2.27963185448486,3.21372349040079,-1.13449955018186,1.2777549436944,0.40918698468946,-1.3077712714559,2.24603119467174,1.47824047111603,3.61928654649865,-0.511969936835867,1.58109785655573,-0.476037927609804,2.02153328501952,-1.8276467307418,0.501845815172165,-0.670193942050762,5.93208376441239,2.59338206173535,-2.43378253431212,-1.3077712714559,-1.8741667463767,-3.30925127166602,-0.476037927609804,4.54108607314434,-1.51749180243797,0.162715180884342,-1.02686888598949,-1.3077712714559,-1.15748906840656,-0.0666589201805034,-4.80779416361884,-6.35130429845159,2.40711831849565,-4.22554200354018,-4.46975699443985,0.4974112181043,-4.50423726694834,1.44949800225037,-4.22554200354018,0.465805878688968,-5.15628731729571,-3.53239482298023,-1.13449955018186,0.423645067864691
