"","g__Bacteroides","g__Alistipes","g__Faecalibacterium","g__Prevotella","o__Bacteroidales","g__Parabacteroides","g__Bifidobacterium","o__Clostridiales","f__Lachnospiraceae","g__Roseburia","g__Sutterella","g__Paraprevotella","g__Blautia","g__Barnesiella","g__Ruminiclostridium","g__Ruminococcus","f__Rikenellaceae","g__Odoribacter","g__Fusicatenibacter","o__Burkholderiales","g__Clostridium","g__Bilophila","g__Akkermansia","g__Oscillibacter","g__Gemmiger","f__Ruminococcaceae","p__Firmicutes","g__Eubacterium","g__Dorea","g__Coprococcus","g__Escherichia","g__Lachnoclostridium","g__Collinsella","g__Flavonifractor","g__Intestinimonas","f__Bacteroidaceae","g__Dakarella","g__Butyricimonas","k__Bacteria","g__Lactobacillus","g__Dialister","g__Parasutterella","g__Prevotellamassilia","g__Subdoligranulum","g__Pseudoflavonifractor","g__Anaerotruncus","f__Enterobacteriaceae","g__Mediterranea","g__Streptococcus","g__Phascolarctobacterium","g__Adlercreutzia","g__Eggerthella","g__Tyzzerella","g__Hungatella","g__Ruthenibacterium","g__Angelakisella","g__Enterococcus","g__Holdemania","g__Haemophilus","g__Cellulomonas","g__Butyrivibrio","g__Butyricicoccus","g__Provencibacterium","g__Anaeromassilibacillus","g__Negativibacillus","g__Clostridioides","g__Tannerella","f__Prevotellaceae","g__Acidaminococcus","p__Bacteroidetes","g__Desulfovibrio","g__Eisenbergiella","g__Campylobacter","g__Gordonibacter","g__Neglecta","f__Erysipelotrichaceae","g__Emergencia","g__Anaerostipes","g__Faecalitalea","g__Phocea","f__Comamonadaceae"
"MCT.f.0002",0.62919725065997,0.175152383405233,0.0090745927499839,0.0022146567080892,0.0508110123838345,0.0475379885390509,0.00796793509754684,0.00457284356019145,0.00870034125297791,0.00348898976241066,0,7.51185800442126e-05,0.00342057819844183,0.0130277080248106,6.57287575386861e-05,0.00898740154100401,6.70701607537613e-05,0.0087499731719357,0.00133067198935462,0.00386860687227695,0.00353057326207799,0.00122872534500891,0.000366203077715537,0.00131323374755865,0.0041422531281523,0.000535219882815015,0.000784720880819007,0.000492294979932608,0.000304498529822076,0.000347423432704483,0.000643873543236108,0.000403762367737643,0.000992638379155667,0.000162309789024102,0.000174382417959779,0.000489612173502457,1.34140321507523e-06,4.69491125276329e-05,0.000574120576052197,0.000152919966518576,0,0.000513757431373812,4.02420964522568e-06,0.000138164531152748,0.000364861674500461,0.000234745562638165,0.000143530144013049,0.000228038546562788,0.000548633914965767,1.34140321507523e-06,0.000203893288691434,0.00012072628935677,8.04841929045136e-05,4.42663060974825e-05,4.1583499667332e-05,0.000100605241130642,6.57287575386861e-05,4.82905157427081e-05,4.02420964522568e-05,0,3.62178868070311e-05,1.87796450110532e-05,9.38982250552658e-06,2.81694675165797e-05,8.04841929045136e-06,5.3656128603009e-05,1.47554353658275e-05,3.62178868070311e-05,0.00116702079711545,0.000150237160088425,8.04841929045136e-06,2.81694675165797e-05,0.000135481724722598,0.000173041014744704,4.69491125276329e-05,3.62178868070311e-05,2.28038546562788e-05,2.14624514412036e-05,5.09733221728586e-05,2.9510870731655e-05,4.02420964522568e-06
"MCT.f.0003",0.219922598826436,0.00585334311303274,0.0635230080296479,0.000569410129709697,0.0138395614576899,0.0119817402717727,0.112299258801729,0.0337882180358246,0.0329630558987029,0.0903238882025942,0,1.9302038295244e-05,0.0234230234712786,0.000342611179740581,0.000439121371216801,0.061708616429895,4.82550957381099e-06,0.00159724366893144,0.012280921865349,0.0657186148857319,0.00871004478072884,0.0946668468190241,0.000318483631871526,0.000646618282890673,0.0487617742433601,0.00709832458307597,0.00510056361951822,0.00689565318097591,0.00344541383570105,0.00322826590487956,0.00096992742433601,0.00388936071649166,0.00793796324891909,0.000294356084002471,0.000308832612723904,0.000236449969116739,0,0.00019302038295244,0.00162137121680049,0.00468556979617048,0,0.00879690395305744,0,0.00185299567634342,0.00101335701050031,0.00274088943792464,0.000294356084002471,7.72081531809759e-05,0.0145585623841878,9.65101914762199e-06,0.00178543854231007,0.00152486102532427,0.000501852995676343,0.000250926497838172,0.000801034589252625,0.000357087708462014,0.000709349907350216,0.000714175416924027,0.00198328443483632,0,0.000559759110562075,0.000125463248919086,0.000183369363804818,0.000275054045707227,3.3778567016677e-05,0.000477725447807288,0,9.65101914762199e-06,0.00733477455219271,5.79061148857319e-05,4.82550957381099e-05,0.000188194873378629,0.000704524397776405,0.000781732550957381,0.000159241815935763,0.000110986720197653,6.27316244595429e-05,0.000829987646695491,0.000299181593576282,0.000130288758492897,4.82550957381099e-05
"MCT.f.0004",0.498279698733311,0.0991869222868881,0.163124786032181,0.00179091064703869,0.0350415097569326,0.0297008729887025,0.0164904998288257,0.0146781923998631,0.00802379322149949,0.00861006504621705,2.13967819239986e-06,6.63300239643958e-05,0.00518444026018487,0.0063206093803492,0.000507103731598768,0.0279506162273194,6.41903457719959e-05,0.00561451557685724,0.00224024306744266,0.00647466621020199,0.0151104073947278,0.0168114515576857,0.000596970215679562,0.0104501882916809,0.00451900034234851,0.00282651489216022,0.00264464224580623,0.00110193426908593,0.000509243409791167,0.000828055460458747,0.000134799726121191,0.0015555460458747,0.00115756590208833,0.000755306401917152,0.000806658678534748,0.000301694625128381,0,4.92125984251968e-05,0.000522081478945567,0.000609808284833961,0,0.000862290311537145,0,0.000455751454981171,0.00117254364943512,0.000954296473810339,2.13967819239986e-05,0.000113402944197193,0.000652601848681958,2.13967819239986e-06,0.000201129750085587,0.000106983909619993,0.000224666210201986,0.000186152002738788,0.000115542622389593,0.000353046901745977,0.000188291680931188,0.000188291680931188,6.63300239643958e-05,2.13967819239986e-06,7.70284149263951e-05,0.000109123587812393,2.78158165011982e-05,4.7072920232797e-05,5.13522766175967e-05,0.000186152002738788,8.55871276959945e-06,2.35364601163985e-05,0.00193640876412188,0.000104844231427593,1.06983909619993e-05,8.98664840807942e-05,0.000211828141047586,6.63300239643958e-05,8.77268058883944e-05,0.000196850393700787,5.99109893871962e-05,2.35364601163985e-05,3.63745292707977e-05,0.000128380691543992,6.41903457719959e-06
"MCT.f.0005",0.608033416544055,0.119525864206715,0.0687397708674304,0.00256796001476853,0.0398199121603377,0.0435671499501287,0.008359646657519,0.00858007240985964,0.00545002672662247,0.00683870896636854,5.51064380851615e-06,9.91915885532907e-05,0.00663481514545344,0.00772592261953964,8.26596571277422e-05,0.00896030683264726,2.20425752340646e-05,0.00684973025398557,0.00370866328313137,0.00826596571277422,0.00824943378134868,0.0111370111370111,3.8574506659613e-05,0.00241366198813007,0.00602313368270815,0.00137766095212904,0.00163115056732078,0.00145480996544826,0.000534532449426066,0.000716383695107099,0.00014327673902142,0.00121234163787355,0.00106355425504362,0.000236957683766194,0.000391255710404647,0.000374723778979098,0,7.16383695107099e-05,0.000374723778979098,0.000518000518000518,0,0.00122336292549058,0,0.000391255710404647,0.000865171077937035,0.00101946910457549,5.51064380851615e-06,0.000159808670446968,0.000231447039957678,0,0.000418808929447227,0.000203893820915098,0.000121234163787355,0.000121234163787355,7.71490133192261e-05,0.000176340601872517,0.000137766095212904,0.000203893820915098,4.95957942766453e-05,0,0.000104702232361807,5.51064380851615e-05,3.30638628510969e-05,6.06170818936776e-05,3.8574506659613e-05,0.000154298026638452,1.10212876170323e-05,2.75532190425807e-05,0.0014658312530653,2.20425752340646e-05,1.10212876170323e-05,6.06170818936776e-05,0.00014327673902142,0.000203893820915098,3.8574506659613e-05,0.000121234163787355,4.95957942766453e-05,8.81703009362584e-05,3.30638628510969e-05,6.61277257021938e-05,5.51064380851615e-06
"MCT.f.0006",0.495752292035036,0.101699537729374,0.136813014486298,0.00113181303721347,0.0343362075626929,0.0397998190917314,0.00703633165303794,0.0161453811573584,0.0140772087399603,0.0206044517979464,0,9.54541115722201e-05,0.00557724737614829,0.0144908432234399,0.000290907768601052,0.0464679706001336,1.81817355375657e-05,0.00787723692165036,0.00269544229344412,0.00437270739678456,0.0126044881614174,0.00305453157031104,0.000113635847109786,0.00439998000009091,0.00505452247944328,0.00289998681824174,0.00301362266535152,0.00213180849177958,0.00075908745869337,0.000740905723155804,0.000140908450416134,0.00196817287194149,0.00145908427688965,0.000549997500011364,0.000481815991745492,0.000427270785132795,0,8.63632438034373e-05,0.000709087685965064,0.0018590824587161,0,0.000659087913236758,0,0.000468179690092318,0.00120453997936373,0.000849996136381198,3.181803719074e-05,0.00022272626033518,0.000104544979341003,4.54543388439143e-06,0.000131817582647352,6.36360743814801e-05,0.000277271466947877,0.000154544752069309,9.54541115722201e-05,0.000277271466947877,0.000268180599179095,0.000131817582647352,9.54541115722201e-05,0,0.00012727214876296,0.000131817582647352,3.181803719074e-05,7.2726942150263e-05,7.72723760346544e-05,0.00025454429752592,9.09086776878287e-06,3.181803719074e-05,0.000972722851259767,8.18178099190458e-05,0,9.99995454566116e-05,0.000490906859514275,8.63632438034373e-05,0.000231817128103963,0.000209089958682006,5.90906404970886e-05,6.81815082658715e-05,3.181803719074e-05,0.000154544752069309,0
"MCT.f.0007",0.4440323630406,0.123117579729335,0.164909554054357,0.0012484009246583,0.0343380389164441,0.0358277038400251,0.0133929573355477,0.013855847566039,0.0159402563009179,0.0138249882173396,2.80539533631079e-06,5.04971160535943e-05,0.00517034360482079,0.00968983549161748,0.000288955719640012,0.0601112058711314,6.7329488071459e-05,0.00432030881791862,0.00336366900823664,0.00564445541665732,0.00890151940211415,0.00539758062706197,0.000157102138833404,0.00575106043943713,0.00713973113091097,0.0028334492896739,0.00287833561505487,0.00102958008842606,0.000465695625827592,0.000886504926274211,0.000331036649684674,0.00173373431784007,0.0023144511524564,0.000367506789056714,0.000446057858473416,0.000392755347083511,0,3.64701393720403e-05,0.000678905671387212,0.000833202414884306,0,0.000791121484839644,0,0.000432030881791862,0.00140830845882802,0.000824786228875373,4.48863253809727e-05,0.000173934510851269,8.1356464753013e-05,0,0.000193572278205445,0.000115021208788743,0.000193572278205445,0.000134658976142918,0.000131853580806607,0.00024687478959535,0.000185156092196512,0.000145880557488161,1.4026976681554e-05,0,0.00010660502277981,0.000126242790133986,4.48863253809727e-05,6.17186973988374e-05,4.76917207172835e-05,0.00017673990618758,1.4026976681554e-05,1.68323720178648e-05,0.0014026976681554,7.85510694167022e-05,5.61079067262159e-06,7.57456740803914e-05,0.0003899499517472,0.000115021208788743,0.000100994232107189,0.000148685952824472,4.76917207172835e-05,2.52485580267971e-05,4.76917207172835e-05,6.7329488071459e-05,1.12215813452432e-05
"MCT.f.0008",0.565895910738105,0.0976774274804353,0.0597760437836693,0.00108772190958168,0.0362841129627827,0.0478683512998277,0.0100986392026426,0.0142577442937536,0.0164961614866296,0.020852773977112,5.72485215569308e-06,6.29733737126239e-05,0.00417055479542241,0.00911396463186338,0.00052096154616807,0.0464171012783595,4.00739650898516e-05,0.00791460810524568,0.00238440092284617,0.00735929744614345,0.00867887586803071,0.00653491873572365,0.000254755920928342,0.00520102818344716,0.00440527373380582,0.0021954808017083,0.00254469678320557,0.00316298081602043,0.000460850598533293,0.00100184912724629,0.000208957103682797,0.00159150889928268,0.000878764805898888,0.000412189355209902,0.000449400894221907,0.000363528111886511,0,4.86612433233912e-05,0.000781442319252105,0.0021897559495526,5.72485215569308e-06,0.00106196007488107,8.58727823353962e-06,0.000400739650898516,0.00149132398655805,0.000996124275090596,2.57618347006189e-05,0.000174607990748639,0.000403602076976362,2.86242607784654e-06,0.000131671599580941,4.29363911676981e-05,0.00021468195583849,0.00014025887781448,0.000105909764880322,0.000271930477395421,0.000145983729970174,0.000134534025658787,5.15236694012377e-05,0,0.000151708582125867,0.00014025887781448,2.00369825449258e-05,7.15606519461635e-05,4.86612433233912e-05,0.000166020712515099,0,2.28994086227723e-05,0.00263629441769666,9.15976344910893e-05,8.58727823353962e-06,8.01479301797031e-05,0.000552448233024382,0.000100184912724629,0.00015743343428156,9.44600605689358e-05,2.86242607784654e-05,2.86242607784654e-05,4.57988172455446e-05,9.15976344910893e-05,2.86242607784654e-06
"MCT.f.0009",0.531000106880168,0.123563190470176,0.0771674812230978,0.00111495447876485,0.0381027798560033,0.0427544962543359,0.0160708907004538,0.015274147630661,0.0145429901184427,0.0237079645157843,4.85818944995579e-06,8.98765048241821e-05,0.00402743905401335,0.0084726824007229,0.000434807955771043,0.0373983423857597,4.12946103246242e-05,0.0066702941147893,0.00229306542037913,0.00397885715951379,0.00957063321641291,0.00627192257989293,0.000191898483273254,0.00676502880906344,0.00539501938417591,0.0023732255463034,0.00277159708119978,0.00210845422128081,0.000505251702795402,0.00125098378336362,0.000106880167899027,0.00179267190703369,0.00131171115148806,0.000434807955771043,0.000665571954643943,0.000417804292696198,0,3.15782314247126e-05,0.000726299322768391,0.0013627221407126,0,0.000592699112894606,2.4290947249779e-06,0.00036922239819664,0.00172708634945928,0.00115867818381446,1.70036630748453e-05,0.000204043956898143,0.000490677134445535,0,0.000104451073174049,8.25892206492484e-05,0.000267200419747568,0.000160320251848541,0.000128742020423828,0.000361935114021706,0.00018461119909832,0.000213760335798055,7.28728417493369e-06,2.4290947249779e-06,0.000126312925698851,0.00015060387294863,4.615279977458e-05,7.77310311992927e-05,6.55855575744032e-05,0.000143316588773696,7.28728417493369e-06,2.67200419747568e-05,0.00107608896316521,8.74474100992042e-05,1.21454736248895e-05,0.000102021978449072,0.000500393513345446,0.000116596546798939,0.000160320251848541,0.000133600209873784,2.67200419747568e-05,2.91491366997347e-05,6.31564628494253e-05,0.00019675667272321,1.21454736248895e-05
"MCT.f.0010",0.430312596069492,0.322291121491823,0.0205935501285925,0.000648586231976426,0.0427654517234398,0.0340863931857206,0.0398899277932322,0.00801172703892267,0.0101674327232374,0.00814294390666357,7.49810672805117e-06,6.74829605524605e-05,0.00918518074186268,0.018175410708796,0.000101224440828691,0.0176280489176483,9.74753874646652e-05,0.00711195423155653,0.00400398899277932,0.000502373150779428,0.0040002399394153,0.000566107057967863,4.87376937323326e-05,0.000791050259809398,0.00668831120142164,0.000764806886261219,0.00136465542450531,0.000914769020822242,0.000622342858428247,0.00124468571685649,1.49962134561023e-05,0.000768555939625245,0.00182953804164448,0.000119969707648819,0.000138714974468947,0.000367407229674507,0,2.24943201841535e-05,0.00041614492340684,0.000314920482578149,0,4.4988640368307e-05,3.74905336402558e-06,0.00035616006958243,0.000401148709950737,0.000374905336402558,3.74905336402558e-06,0.000198699828293356,0.00119219896976014,0,0.000213696041749458,0.000104973494192716,0.000134965921104921,4.87376937323326e-05,5.99848538244093e-05,0.000119969707648819,0.000138714974468947,7.49810672805117e-05,0.000119969707648819,0,7.12320139164861e-05,5.62358004603838e-05,3.74905336402558e-06,2.62433735481791e-05,2.62433735481791e-05,0.000149962134561023,7.49810672805117e-06,2.24943201841535e-05,0.000176205508109202,0.000138714974468947,0,4.4988640368307e-05,0.000442388296955019,0.000183703614837254,7.87301206445372e-05,5.24867470963582e-05,2.24943201841535e-05,4.4988640368307e-05,4.87376937323326e-05,2.24943201841535e-05,0
"MCT.f.0011",0.568905766667505,0.138004342395359,0.0864689954647956,0.00083494706133843,0.0430701908809697,0.047700961530401,0.0105877323139602,0.00872335253040934,0.0095633293933221,0.0085590456789813,1.67660052477596e-06,5.86810183671587e-05,0.00570547158581261,0.0152034135586684,0.000142511044605957,0.02151581453445,3.68852115450712e-05,0.00826061078557118,0.00216784447853532,0.00254675619713469,0.00257190520500633,0.000977458105944387,0.000350409509678177,0.00111493934897602,0.00306817896034001,0.00173192834209357,0.0017855795588864,0.000942249494924092,0.000345379708103849,0.000823210857664998,6.70640209910386e-06,0.00100596031486558,0.000575073979998156,8.21534257140222e-05,0.000196162261398788,0.000445975739590406,0,4.6944814693727e-05,0.000497950355858461,0.000395677723847128,1.67660052477596e-06,0.000377235118074592,3.35320104955193e-06,0.00026993268448893,0.000285022089211914,0.000378911718599368,0,0.000221311269270427,0.00116859056576885,1.67660052477596e-06,7.88002246644703e-05,3.68852115450712e-05,0.000137481243031629,6.70640209910386e-05,5.02980157432789e-05,0.000117362036734317,0.000110655634635214,7.20938225653665e-05,7.37704230901424e-05,0,7.37704230901424e-05,6.03576188919347e-05,8.38300262387982e-06,3.68852115450712e-05,2.01192062973116e-05,0.000142511044605957,1.50894047229837e-05,3.68852115450712e-05,0.000214604867171323,9.05364283379021e-05,3.35320104955193e-06,6.20342194167107e-05,0.00036549891440116,0.000102272632011334,6.20342194167107e-05,8.21534257140222e-05,2.51490078716395e-05,2.34724073468635e-05,6.20342194167107e-05,3.52086110202953e-05,3.35320104955193e-06
